Description,Date,Credit,Debit
702-9733905-0477022,28/02/2020,9.49,
702-9414901-5215420,28/02/2020,9.49,
701-1308126-1379449,26/02/2020,8.99,
701-6252008-9311453,25/02/2020,8.99,
701-3733421-3640212,25/02/2020,9.99,
702-9759766-8509833,24/02/2020,34.14,
702-2713650-2430619,23/02/2020,8.99,
702-1210668-0537817,23/02/2020,18.98,
701-7792988-8363405,22/02/2020,9.99,
701-4495794-8960206,22/02/2020,8.99,
701-0452460-0876260,20/02/2020,8.99,
702-0998249-5313849,20/02/2020,8.99,
701-6457998-2244239,19/02/2020,9.99,
702-7883059-6701805,18/02/2020,9.99,
702-5639907-1163434,17/02/2020,9.99,
702-6851740-9197804,17/02/2020,9.99,
702-6851740-9197804,17/02/2020,9.99,
702-6851740-9197804,17/02/2020,9.99,
702-2340606-1293030,17/02/2020,9.99,
701-9680398-9581027,17/02/2020,9.99,
701-8596387-8461813,17/02/2020,15.53,
701-6935689-8512204,17/02/2020,9.99,
702-3702941-6050604,15/02/2020,9.99,
701-2733538-4270607,13/02/2020,9.99,
701-5650344-5917063,12/02/2020,9.99,
702-8932613-6890604,12/02/2020,14.04,
701-9326100-7389806,10/02/2020,19.98,
701-0803054-6157869,09/02/2020,9.99,
701-9562272-4119461,06/02/2020,12.05,
701-8438687-8425045,05/02/2020,9.99,
701-6577492-1236241,04/02/2020,11.29,
701-6577492-1236241,04/02/2020,11.30,
702-9149414-4666636,02/02/2020,9.99,
702-9149414-4666636,02/02/2020,9.99,
702-3903948-9687411,02/02/2020,9.99,
702-5878363-9390621,02/02/2020,9.99,
702-9538004-6945002,01/02/2020,9.99,
