Description,Date,Credit,Debit
701-1087969-1380248,28/02/2021,7.99,
702-8448071-9844216,28/02/2021,9.99,
702-8448071-9844216,28/02/2021,19.99,
701-8890318-8233026,27/02/2021,7.99,
702-4543969-7441001,27/02/2021,19.99,
701-7958295-1549839,25/02/2021,15.98,
701-8677963-9895418,24/02/2021,9.99,
701-7264989-3549046,24/02/2021,9.99,
701-1220618-4570611,23/02/2021,9.99,
702-5398405-6268231,23/02/2021,10.48,
702-0956638-3766603,23/02/2021,7.99,
702-9042291-3751454,23/02/2021,7.99,
701-6872663-3725059,21/02/2021,7.99,
701-9126493-3389054,20/02/2021,9.99,
701-5420633-9400239,18/02/2021,7.99,
702-8268360-9680260,16/02/2021,7.99,
701-6551604-8270616,15/02/2021,9.99,
701-6935884-9091400,13/02/2021,7.99,
701-6935884-9091400,13/02/2021,7.99,
701-9620754-4019430,11/02/2021,19.99,
702-3997585-5982643,11/02/2021,9.99,
702-3997585-5982643,11/02/2021,9.99,
702-1117801-0842627,11/02/2021,19.99,
701-7545100-9376266,10/02/2021,19.99,
701-2815014-1361007,10/02/2021,7.99,
701-2815014-1361007,10/02/2021,7.99,
702-5651679-7292248,09/02/2021,9.99,
702-6060247-5069014,09/02/2021,15.98,
702-8217033-0965028,08/02/2021,9.99,
702-2048803-5093831,08/02/2021,7.99,
702-2048803-5093831,08/02/2021,7.99,
702-2048803-5093831,08/02/2021,7.99,
701-7109397-6602631,07/02/2021,9.99,
701-1806131-5873825,07/02/2021,9.99,
701-7716666-6063466,06/02/2021,9.99,
702-2666634-2819459,06/02/2021,9.99,
701-1975559-8146627,06/02/2021,19.99,
702-0502398-2048264,06/02/2021,9.99,
702-0502398-2048264,06/02/2021,9.99,
701-6538582-9692245,05/02/2021,7.99,
702-5754120-6673802,05/02/2021,7.99,
701-4877775-1145018,05/02/2021,19.99,
702-2192140-3471433,04/02/2021,7.99,
701-5074685-9879437,04/02/2021,9.99,
702-0094826-6508232,04/02/2021,19.99,
702-7703845-3696202,03/02/2021,9.99,
702-0750447-5551435,03/02/2021,9.99,
701-6160532-1684260,03/02/2021,9.99,
702-2798676-7617017,02/02/2021,7.99,
701-5868734-7329836,01/02/2021,7.99,
114-2075885-6843465,01/03/2021,13.99,
112-1680674-1940257,01/03/2021,6.99,
114-9925860-0369061,01/03/2021,19.99,
112-3336153-7533041,01/03/2021,6.99,
114-0465285-7556267,01/03/2021,6.99,
113-1981592-4157828,01/03/2021,6.99,
112-8418663-8717830,01/03/2021,3.99,
112-8418663-8717830,01/03/2021,3.99,
112-6902051-0489844,28/02/2021,13.99,
111-6361157-5993849,28/02/2021,11.99,
